Subject,Story,Case,Explanation 0,Explanation 1,Explanation 2,Explanation 3,Explanation 4,Explanation 5,Explanation 6,Explanation 7,Reasoning
23,locks,got keys,7,7,7,7,7,7,7,1,"If he knew there were locks, he needed the keys."
27,locks,got keys,4,4,4,2,2,2,2,2,"It's really hard to call this one because even though it has 3 locks, they don't necessarily have to be in ABC order and it says that the locks are not always all locked. Therefore, any combination of locks could be locked, like A is not and B and C are, or the opposite of that. So it's really hard to tell which ones he would get first to open the door, unless he wanted to just get them all to have them and be on the safe side."
33,locks,got keys,6,6,6,1,1,1,7,1,"defenetly the lock A,B,C are locked so he get keys"
34,locks,got keys,7,7,7,7,7,7,7,1,MATT KNEW THAT THE DOORS WHERE LOCKED SO HE HAD TO GET THE KEYS FIRST.
40,locks,got keys,6,6,6,6,6,6,7,3,"Jacob knowing that any combination of doors were locked seems like a good explanation. That would seem to assume that Jacob wanted to use the specific rooms that were locked.  If Jacob did not know which rooms were locked, then it would seem to be a waste of time to go to the secretary in a separate building and ask for the keys. So I assume he knew a door he needed to open was locked."
41,locks,got keys,5,3,2,3,4,4,4,4,alex knew that every lock was locked before he got the key 
44,locks,got keys,3,2,5,4,4,6,4,3,I think these where the optimal choices
48,locks,got keys,4,5,5,3,3,2,3,3,picked the best
52,locks,got keys,6,6,6,6,6,6,6,2,"It seems logical to only go get the keys if you know the door you need is locked, otherwise, if he didn't know, I think he'd try it first."
56,locks,got keys,1,1,1,1,1,1,1,1,David Knew that some of the locks could be locked but had no way of knowing which ones.
57,locks,got keys,7,7,7,7,7,7,7,1,"If Alex knew the doors were locked, it makes sense he would ask for the keys. "
58,locks,got keys,3,4,3,4,5,6,7,4,He needed the keys as long as one door was locked. 
60,locks,got keys,6,6,6,6,6,6,6,1,he knew they were locked
61,locks,got keys,4,5,5,6,6,6,7,1,"It made more sense to me that David would get the keys when he knew that the doors would be locked. The more doors that he knew to be locked, the more sense it made that he would retrieve the keys first. If he did not know if any (or some) of the doors were locked, it would not be as sensible to get the keys first."
62,locks,got keys,5,7,7,5,7,5,7,3,"He had a good idea that one of the 3 locks would be locked, so it cant hurt to grab the keys anyways."
73,locks,got keys,6,6,6,6,6,6,7,1,As the doors are not always not locked it is safe to get the keys first to avoid unnecessary delay.
76,locks,got keys,7,7,7,7,7,7,7,4,I think that not knowing if the doors are locked and still getting the keys is pretty common sensical and is as acceptable as knowing that the doors are locked.
79,locks,got keys,7,7,7,7,7,7,7,1,"If any of the locks were locked, David would need the keys to open the door."
80,locks,got keys,7,7,7,7,7,7,7,1,Since any one of the locks could have been locked any explanation where Jacob knew a lock was locked is an equally strong and vaild reason. 
86,locks,got keys,4,4,4,4,4,4,4,4,"Alex knew that lock A, B, C may or may not have been locked. There was a 50/50 chance of the doors being locked. Alex got the keys first just in case one of the doors were locked"
88,locks,got keys,3,6,4,4,5,6,6,3,I tried to apply logic to the situaiton. He would only get the keys if he knew the progression and the fact about the rest of the locks
94,locks,got keys,5,7,7,7,7,7,7,1,I felt it was a good explanation if in case the officer didn't know David commited the crimes and a bad explanation if he did know as that seems to be what makes sense to me. 
96,locks,got keys,5,5,5,5,5,5,5,2,"he knew that there was a strong possibility that one, if not all, were locked"
103,locks,got keys,7,7,7,7,7,7,7,1,David was being safe with all doors so he brought the keys in case he had to unlock the doors.
109,locks,got keys,7,7,7,7,7,7,7,4,"If Alex knew one or more of the locks is locked, then he would need to get the keys. If he didn't know if any of the locks were locked, it would still be reasonable to get the keys in case one or more were locked."
118,locks,got keys,7,7,7,7,7,7,7,1,If he knows any of the locks are locked - he needs a key. If he didn't know - why not try first before walking to another building.
123,locks,got keys,6,6,6,6,6,6,6,2,"It's always best to assume that a scenario has the worst possible outcome, and prepare for it just in case.This is what David did. He ""knew"" they all were locked based on assumptions, even if they weren't, he was prepared for it."
126,locks,got keys,4,4,4,4,4,4,4,4,"There is very less data given to decide on this case, so I kept every question in the middle."
141,locks,got keys,5,5,7,7,4,3,3,2,Jacob tried the locks
144,locks,got keys,7,7,7,6,6,6,6,3,"If he knew at least one of the doors was locked, he was going to need the keys regardless."
145,locks,got keys,7,7,7,7,7,7,7,2,If David already knew that at least one of the locks is locked then he needs the keys to get to the supply room.
158,locks,got keys,4,4,4,4,4,4,4,4,"Without knowing the circumstances of when the locks are locked, we can only guess how Matt knew to get the keys."
161,locks,got keys,7,7,7,7,7,7,7,1,"If Jacob knew any locks were locked, that is a very good explanation."
162,locks,got keys,4,4,4,5,4,4,4,4,i would guess that he knew some of the locks could have been locked so he just got the keys to be prepared.
163,locks,got keys,7,7,7,7,7,7,7,1,He got the keys first. 
170,locks,got keys,7,7,7,7,7,7,7,1,he knew he needed keys c ause he knew a door was locked
171,locks,got keys,5,5,5,5,6,5,6,2,I figured Jacob got the keys because he knew at least one of the locks were locked.
172,locks,got keys,5,5,5,4,3,4,3,2,"David probably assumed that at least one of the locks was locked and wanted to make sure he had the keys first, just in case. "
177,locks,got keys,7,7,7,7,7,7,7,1,If Alex knew that any 1 of the locks was locked then he would have to get the keys.  Any explanation indicating Alex knew at least 1 of the locks was locked is satisfactory.
179,locks,got keys,5,5,5,5,4,4,4,2,Either one or more locks were locked. So went with statements which agreed with this.
184,locks,got keys,7,7,7,7,7,7,7,1,All of the locks are locked and need a key.
185,locks,got keys,5,5,5,5,5,5,5,3,he knew so he got it
186,locks,got keys,4,3,3,4,3,3,3,4,I don't know what David knows or doesn't know.
189,locks,got keys,7,7,7,2,3,3,2,2,repeating things too much
MEANS,locks,got keys,5.3191489361702127,5.4255319148936172,5.4680851063829783,5.1702127659574471,5.1914893617021276,5.1914893617021276,5.4893617021276597,2.2127659574468086

0,locks,didn't get keys,6,6,6,6,6,6,1,1,"If he knew for sure that all 3 locks are locked, it's too stupid to try to open them. And the statements about him not knowing the status of 1 or 2 locks are weird: they might mean that the remaining locks were unlocked and he knew that (since we were informed that ""The locks are not always all locked. ""). The statement with 3 ""or"" is also weird: it might mean he was misinformed by someone.  So I went with believing the best case scenario (the best for Jacob's intelligence) and thus rated those statements as quite possible. "
2,locks,didn't get keys,2,1,1,2,6,1,2,2,He might have assumed that all locks are open and there is no need to get the keys.
3,locks,didn't get keys,6,6,6,6,6,6,7,1,"He assumed the doors may have been unlocked so it would make sense that he didn't go get the keys first, wasting valuable time."
11,locks,didn't get keys,1,1,1,1,1,1,7,1,"I didn't agree with any but of these. It sounded like all the keys were together so he would either have to get them or not get them. And if he knew they were locked, he wouldn't try. The only explaination might be he thought they ALL were unlocked."
12,locks,didn't get keys,4,4,2,4,3,4,4,2,"Major problem was The locks are not always all locked. and employee should have spare keys, employee must check locks before leave the supply room"
24,locks,didn't get keys,6,6,6,6,6,6,6,1,All of these are good explanations except if he KNEW they were all locked. He could have been going there to check and see if the locks were unlocked and if not which keys to get.
25,locks,didn't get keys,7,7,7,7,7,7,7,1,Jacob wouldn't try to open the locker if he knew it was locked.
28,locks,didn't get keys,7,7,7,7,7,7,7,1,"Since their not always locked, he didn't know if they were locked or not."
32,locks,didn't get keys,1,2,1,1,1,1,1,4,he should of known to go get the key from the other person
35,locks,didn't get keys,7,7,7,7,7,7,7,1,I feel that because the locks are not always locked Matt wouldn't have known what locks were locked on this certain day.
39,locks,didn't get keys,5,5,5,5,5,5,5,1,quite simple.. he just assumed they might not be locked given that sometimes they arent locked and other times they are. Not the best explanation since one should assume they are locked most of the time so its worth getting the keys
42,locks,didn't get keys,7,7,7,7,7,7,7,2,"He figured he could get in there because the locks are not always locked. So because of that, he tried it first."
43,locks,didn't get keys,6,6,6,6,6,6,6,1,Obviously he wanted to try the door first because it isn't always locked. So the only option that isn't a good choice is that he knew the door was locked.
54,locks,didn't get keys,5,5,2,5,2,2,7,1,"david knew he couldn't get in if any of the locks were locked, but he didn't know if all three were locked sometimes the weren't locked"
59,locks,didn't get keys,4,4,4,6,6,6,7,1,My answers would have changed had the door and lock David tried to open were specified. Not knowing if the door was locked it a very good explanation if the the door David was trying to lock corresponded with David not knowing it was locked. Knowing it was locked is a bad explanation otherwise David would not try to open it.
65,locks,didn't get keys,2,2,2,2,2,2,7,1,He nees all 3 to be unlocked for him to get in.
66,locks,didn't get keys,1,1,1,1,1,1,7,1,He  must know all three were unlocked or dude is wasting time
67,locks,didn't get keys,2,2,2,4,4,4,7,1,Any lock could have been locked.  He didn't know IF ANY were locked.  
69,locks,didn't get keys,7,7,7,7,7,7,7,1,Any of the locks could have been locked or unlocked and the only explanation that didn't make sense would be if he knew one of them was locked he should have gone to get the keys at least for that lock.
70,locks,didn't get keys,4,4,4,4,4,4,7,1,"If he didn't know that any of them were locked that's a very good explanation because he assumed it wasn't locked.  Any of the others where he didn't know if one or two were locked I would imagine he knew the other(s) were locked, so why bother, you're going to need keys.  When he knew for sure all of the locks were locked there was no point to try the door without getting keys so it was a very bad explanation."
75,locks,didn't get keys,5,5,5,5,5,5,5,1,"If he knew that they were all locked, he would definitely need the key so that doesn't make sense. If he didn't know that one of the locks was locked, it would make sense that he tried to unlock the door first."
81,locks,didn't get keys,1,1,1,1,1,1,7,1,"The case states that the locks are not always locked.  So in this case, David tried to open the door first before getting the keys without knowing whether any of the locks would be unlocked.  "
82,locks,didn't get keys,3,3,3,3,3,4,4,3,"It is the standard procedure to get the keys, but there is always a possibility they are unlocked. And it doesn't waste much time to check."
91,locks,didn't get keys,5,5,5,5,5,5,7,1,He certainly would not have tried to open any without the key unless he thought they were unlocked
92,locks,didn't get keys,2,2,2,5,5,5,7,1,Matt thought that at least one of the locks would be open since the locks are not always locked. 
95,locks,didn't get keys,6,6,6,6,6,6,7,3,Alex may have known that the locks aren't always locked and he wanted to try the door before bothering the secretary.
99,locks,didn't get keys,3,3,3,3,3,3,1,1,"I assume he was trying to save time by just trying the locks himself. However, if there's 3 locks, there's a decent chance at least one would be locked."
104,locks,didn't get keys,7,7,7,7,7,7,7,1,"If Jacob didn't know the locks were locked, he would have no reason to get the keys from the secretary."
110,locks,didn't get keys,1,1,1,1,1,1,7,1,"If Matt knew that at least one door was locked, he should have gotten keys from the secretary. If he didn't know any of the doors were locked, then that explains why he didn't get the keys."
112,locks,didn't get keys,6,6,6,6,6,6,7,1,"Matt is an employee so he knows that the door has three locks and that he needs the key for them. If he did not get the key, he must have thought they were already open."
115,locks,didn't get keys,7,7,7,7,7,7,7,1,It wouldn't make sense for Matt to try to open the door if he knew it was locked.
117,locks,didn't get keys,7,7,7,7,7,7,7,4,"Sometimes the locks are unlocked, so it was not a bad idea to just go check first. "
124,locks,didn't get keys,5,5,5,5,5,5,7,1,"It isn't stated that an employee can't open the supply room without first getting the key. If Alex didn't know if any of the locks were locked, I call that a good explanation. The options that don't include all locks are leaning towards a good explanation, but Alex seems to have some information regarding at least one lock, so it'd make sense that they could have gotten the full picture before attempting to open the supply room."
125,locks,didn't get keys,4,4,4,6,6,5,7,1,Sometimes the doors aren't locked.
127,locks,didn't get keys,5,5,5,4,4,6,7,4,"He didn't know any of them were locked, but the more detailed ones are better explanation."
128,locks,didn't get keys,7,7,7,2,2,2,2,1,I think David would know that at least one was locked. He might not have known that one of the doors was locked. It's unlikely that he wouldn't have asked for the keys if he knew the doors were locked.
130,locks,didn't get keys,5,4,4,5,4,4,4,4,I just chose that
131,locks,didn't get keys,7,7,7,7,7,7,7,1,Jacob would not have tried to open the door without the keys if he thought any of the locks were closed.
134,locks,didn't get keys,7,7,7,7,1,7,7,1,"In the scenario, it states that the all the doors are not always locked so maybe Alex wanted to check the doors first before walking all the way to the other building and getting the key."
135,locks,didn't get keys,5,5,5,6,5,6,7,1,i think Matt tried to see if the locks were open before going to the secretary for the keys
136,locks,didn't get keys,7,7,7,7,1,7,2,1,Jacob didn't know that any of the locks were locked. 
138,locks,didn't get keys,6,6,6,6,6,6,6,1,He couldn't have known if any were locked so it might be worth trying before going to get the keys.
154,locks,didn't get keys,5,6,6,6,6,6,6,2,"I don't think he really knew anything at all.  Or he has no clue that you need to have all of them unlocked.  Basically, all options are in play "
155,locks,didn't get keys,4,5,4,4,4,4,5,2,If he had to guess that only one lock wasnt lock he had a better chance of opening the door
164,locks,didn't get keys,5,5,3,3,4,5,4,4,Jacob probably forgot about the keys.
167,locks,didn't get keys,5,5,5,5,5,5,6,4,"He didn't know which, if any were locked"
173,locks,didn't get keys,2,3,3,3,4,2,4,1,David should always assume the doors are locked
175,locks,didn't get keys,1,1,1,1,1,1,1,1,the secretary has the keys and everyone knows one locked lock or three
176,locks,didn't get keys,2,2,2,2,2,2,7,1,"There are three locks and all are required to access the supply room.  It seems like rather than assuming the doors are unlocked, alex should just get the key.  Also, knowing that 2 locks are unlocked/locked doesn't matter if the state of the third is unknown. "
178,locks,didn't get keys,6,6,6,6,6,6,6,1,If he didnt know they were locked then he would not go to get the key
181,locks,didn't get keys,1,1,1,1,1,1,1,1,common sense should have informed Alex a key would be needed for every lock
MEANS,locks,didn't get keys,4.5490196078431371,4.5882352941176467,4.4117647058823533,4.6274509803921573,4.3921568627450984,4.5882352941176467,5.5882352941176467,1.5294117647058822

